Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,ehsaas program,Financial crisis,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,PSB,Interest,current account,mehngai,Politics,parliament,protest,Economic crisis,stock market,trade,Investment,World News,Crisis,Cinema,Credit,Textile,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,57,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,75,0,0
0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,66,0,0
0,0,0,0,28,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,100,0,0,0,77,0,0,0,71,0,0,0,0,100,0,0,0,43,0,0
0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,42,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,66,0,0,0,0,92,0,0,0,53,0,0
0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,69,0,0,0,69,0,0,0,0,53,0,0,0,76,0,0
41,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,88,0,0,0,100,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,59,0,0,0,0,63,0,0,0,68,0,0
40,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,74,0,0,0,48,0,0
0,0,0,0,23,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,48,0,0
35,0,0,0,19,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,100,64,0,0,0,64,0,0,0,0,0,0,0,0,27,0,0
33,0,0,0,25,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,34,50,0,0,0,0,0,77,0,0,0,78,0,0,0,0,78,0,0,0,42,0,0
32,0,0,0,22,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,58,0,0,0,48,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,48,0,0,0,54,0,0
0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
0,0,0,100,18,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,57,0,0,0,60,0,0
56,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,48,0,68,0,0,0,61,0,0,0,0,51,0,0,0,44,0,0
23,100,0,0,22,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,36,0,63,0,0,0,73,0,0,0,0,36,0,0,0,46,0,0
27,0,0,75,27,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,36,0,0,0,52,0,0,0,0,59,0,0,0,39,0,0
39,0,0,0,14,0,100,34,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,25,31,0,0,0,0,0,29,0,0,0,62,0,0,0,0,56,0,0,0,35,0,0
23,0,0,0,20,0,0,35,0,0,0,0,0,0,0,0,100,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,28,0,0,0,64,0,0,0,0,48,0,0,0,39,0,0
24,0,0,0,20,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,33,0,0,0,30,0,0,0,0,45,0,0,0,40,0,0
44,84,0,0,24,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0,0,0,0,63,0,0,0,0,59,0,0,0,50,0,0
35,0,0,0,20,0,0,34,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,26,0,40,0,0,0,58,0,0,0,0,28,0,0,0,48,0,0
33,73,0,54,18,0,0,29,0,0,0,0,0,100,0,0,0,64,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,31,0,0,0,55,0,0,0,0,41,0,0,0,45,0,0
32,0,0,0,21,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,22,31,0,0,0,0,0,37,0,0,0,52,0,0,0,0,40,0,0,0,46,0,0
35,0,0,0,17,0,0,29,0,0,0,0,0,0,0,0,32,49,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,21,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,42,0,0
41,87,0,0,31,0,0,30,0,0,0,0,0,0,0,0,0,55,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,24,0,0,0,0,0,36,0,0,0,0,49,0,0,0,35,0,0
33,80,0,0,19,0,0,18,0,0,0,0,0,0,0,0,0,36,0,0,43,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,40,0,0,0,32,0,0,0,0,40,0,0,0,30,0,0
26,0,0,0,16,0,0,27,0,0,0,0,0,0,0,0,0,35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,33,0,45,0,0,0,56,0,0,0,0,44,0,0,0,41,0,0
41,55,0,0,20,22,0,23,0,0,0,26,0,0,0,0,0,34,0,0,47,0,0,0,0,0,0,0,0,0,0,0,23,16,0,0,13,0,0,44,0,0,0,46,0,0,0,0,43,0,0,0,43,0,0
22,51,0,42,19,0,48,28,0,0,0,0,54,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,23,20,0,14,10,25,0,37,100,0,0,30,0,0,0,0,29,0,0,0,39,0,0
34,57,0,0,27,0,0,30,0,0,0,0,0,0,0,0,44,40,0,0,47,90,0,0,76,0,0,0,0,0,0,0,17,23,0,0,0,0,22,16,0,0,0,41,0,0,0,0,43,0,0,0,39,0,0
21,71,0,49,24,0,0,21,0,0,100,0,0,0,0,0,0,42,0,0,44,0,0,0,0,0,0,0,0,0,0,0,14,35,68,0,0,26,23,17,0,0,0,41,0,0,0,0,31,0,0,0,35,0,0
35,55,0,0,21,0,51,21,0,0,0,0,0,0,0,0,0,36,0,0,43,0,0,0,0,0,0,0,0,0,0,0,27,35,0,0,0,34,26,29,0,0,0,40,100,0,0,0,53,0,0,0,36,0,0
25,71,0,46,16,0,0,25,0,0,0,0,0,0,0,0,0,67,0,0,28,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,0,26,0,40,0,0,0,42,0,0,0,0,40,0,0,0,45,0,0
24,47,0,36,15,0,0,30,0,0,0,0,0,0,0,0,0,46,0,0,24,0,0,0,78,0,0,0,0,0,0,0,11,31,62,0,0,24,0,37,0,0,0,30,0,0,0,0,40,0,0,0,41,0,0
25,63,0,0,16,0,0,21,0,0,0,0,0,0,0,0,12,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,10,0,19,24,0,0,0,26,0,0,0,0,38,0,0,0,38,0,0
18,47,0,29,18,0,35,25,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,26,0,16,0,0,0,27,0,0,0,0,30,0,0,0,29,0,0
28,82,0,25,17,0,0,14,0,20,43,0,0,0,0,0,0,22,0,0,34,0,0,0,0,0,0,0,0,0,0,100,13,17,52,0,10,23,0,19,0,0,0,34,0,0,0,0,39,0,0,0,27,0,0
28,69,0,25,17,0,32,26,0,0,0,0,0,0,0,0,0,30,0,0,28,0,0,0,61,0,0,0,0,0,0,0,13,17,0,0,12,27,16,39,0,0,0,31,71,0,0,0,42,0,0,0,35,0,0
31,57,0,19,19,9,29,21,0,20,43,16,0,0,0,0,11,15,0,0,37,0,0,0,0,0,0,0,100,0,0,0,18,30,0,0,7,24,16,34,0,0,0,38,0,0,0,0,44,0,0,0,27,0,0
26,73,0,25,22,0,0,20,0,0,47,0,0,0,0,0,0,0,0,0,30,75,0,0,0,0,0,0,0,0,0,0,16,23,40,9,11,20,13,30,0,0,0,30,0,0,0,0,52,0,0,0,24,0,0
31,69,0,20,20,0,0,22,0,0,49,13,0,0,0,0,0,26,0,0,32,0,0,0,0,0,0,0,0,0,0,0,13,19,50,21,9,16,12,29,59,0,0,35,43,0,0,0,62,0,0,0,26,0,0
21,45,0,24,15,0,25,23,0,17,44,0,0,0,0,0,35,12,0,0,29,51,0,0,0,0,0,0,0,0,0,0,12,18,0,11,9,25,14,22,48,0,0,41,0,0,0,0,48,0,0,0,33,0,0
28,58,0,29,16,0,0,20,0,19,0,0,0,0,0,0,8,24,0,0,31,0,0,0,87,0,0,0,0,0,0,0,7,21,42,14,10,21,16,27,0,0,0,29,0,0,0,0,36,0,0,0,35,0,0
24,70,0,24,15,7,0,30,0,0,42,0,0,0,0,0,0,18,0,0,24,0,0,0,45,0,0,0,0,0,0,0,16,12,0,13,12,21,0,31,44,0,0,30,0,0,0,0,38,0,0,0,29,0,0
36,54,0,36,18,18,0,23,0,15,29,0,0,0,0,0,10,63,0,0,29,0,0,0,58,0,0,0,0,0,0,0,15,20,0,13,10,24,9,29,74,0,0,36,0,0,0,0,45,0,0,0,36,0,0
28,60,0,28,14,7,0,24,0,17,45,0,35,0,100,0,7,11,0,0,26,36,0,0,54,0,0,0,0,0,0,0,13,17,0,35,8,25,8,22,37,0,0,30,32,0,0,0,41,0,0,100,27,0,0
22,44,0,33,13,0,27,25,0,0,30,23,0,0,46,0,7,13,0,0,21,0,0,0,49,0,0,83,0,0,0,0,10,18,0,16,8,19,0,19,0,4,0,24,34,0,0,0,30,0,0,0,29,0,0
23,26,0,23,11,6,20,21,0,14,0,0,0,0,0,0,8,10,0,0,21,0,0,0,58,0,0,0,0,0,0,0,10,10,0,10,13,14,0,10,0,6,0,20,0,0,0,0,19,0,0,0,23,0,0
27,53,0,26,16,0,22,18,0,13,40,0,0,0,53,0,7,13,0,0,24,41,0,0,0,0,0,0,0,0,0,0,9,19,0,15,10,22,7,18,0,0,0,30,30,88,0,0,31,0,0,0,22,0,0
28,43,0,26,16,0,0,24,0,17,26,0,0,0,75,0,6,14,0,0,23,0,0,0,0,0,100,63,0,0,0,0,12,15,0,18,8,15,0,23,38,0,0,32,31,0,0,0,38,0,0,0,24,100,0
21,50,0,31,12,0,21,20,0,13,30,12,0,0,79,0,0,16,0,0,29,35,0,0,40,0,0,0,0,0,0,0,9,22,33,21,12,24,0,22,48,0,0,25,0,0,0,0,39,0,0,0,24,0,0
27,66,0,20,16,0,0,22,0,14,0,12,0,0,80,0,8,16,0,0,25,0,0,0,71,0,0,0,0,0,0,0,10,17,0,23,10,25,13,23,57,0,0,30,0,0,0,0,38,0,0,0,23,0,0
21,56,0,36,17,0,0,19,0,0,0,0,0,0,83,0,22,18,0,0,23,0,0,0,48,0,0,0,0,0,0,0,8,23,0,22,8,15,8,23,44,0,0,30,0,0,0,0,36,0,0,0,20,0,0
22,51,0,16,15,0,22,26,0,13,0,0,0,0,0,0,9,15,0,0,30,45,0,0,0,0,0,0,0,0,0,0,8,15,38,13,8,16,0,23,0,0,0,34,0,100,0,0,27,0,0,0,23,0,0
22,49,0,33,15,0,25,32,0,16,25,0,0,0,0,0,7,22,0,0,24,0,0,0,38,0,0,0,0,0,0,0,10,14,34,13,11,13,0,20,37,0,0,28,0,0,0,0,25,0,0,0,26,0,0
25,47,0,39,14,0,20,29,0,17,25,0,0,0,0,0,0,20,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,16,27,10,13,20,9,16,0,0,0,29,0,0,0,0,36,0,0,0,23,0,0
27,51,0,32,17,0,19,29,0,22,24,0,0,0,0,0,8,68,0,0,30,0,0,0,40,0,0,0,0,0,0,0,13,26,31,12,5,14,9,21,38,0,0,34,40,0,0,100,41,0,0,0,24,0,0
23,69,0,18,13,0,17,24,0,13,24,0,0,0,0,0,0,15,0,0,25,45,0,0,44,0,0,0,0,0,0,0,12,18,25,11,8,21,7,29,34,0,0,28,0,0,0,0,36,0,0,0,28,0,0
22,64,0,33,13,5,0,28,0,13,0,0,0,0,0,0,23,9,0,0,26,32,0,0,0,0,0,0,0,0,0,0,11,15,30,10,11,19,8,21,0,4,0,23,0,0,0,0,31,0,0,0,28,0,0
23,43,0,26,12,0,0,21,0,17,0,0,0,0,0,0,9,23,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,9,24,6,15,20,0,6,0,0,0,20,0,0,0,0,26,0,0,0,25,0,0
23,49,0,16,16,0,0,24,0,17,0,0,0,0,0,0,8,23,0,0,23,0,0,0,38,0,0,69,0,0,0,0,5,12,24,5,16,18,7,17,0,0,100,34,0,71,0,0,24,0,0,0,23,0,0
25,44,0,34,16,0,0,20,0,18,22,0,0,0,0,0,11,24,0,0,20,30,0,0,38,0,0,0,0,0,0,0,9,16,25,8,8,16,7,23,48,0,0,31,0,0,0,0,37,0,0,0,26,0,0
25,76,63,42,17,5,0,26,0,20,20,0,0,0,0,0,9,32,0,0,24,0,0,0,54,0,0,100,0,0,0,0,12,17,0,13,9,14,9,28,52,0,0,34,26,0,0,0,40,0,0,89,27,0,0
24,52,0,27,16,4,18,25,0,11,19,15,0,0,0,0,7,37,0,0,23,39,0,0,50,0,0,87,0,0,0,0,11,14,0,12,9,18,8,23,35,0,0,30,41,0,0,0,37,0,0,0,22,0,0
29,67,0,36,17,5,25,28,0,13,35,33,0,0,0,0,9,0,0,0,23,0,0,0,47,0,0,91,0,0,0,0,11,23,0,10,11,15,7,22,41,0,0,40,0,0,0,0,32,0,0,0,20,0,0
22,41,0,38,16,0,0,22,0,14,33,0,0,0,0,0,9,17,0,0,21,38,0,0,54,0,0,70,0,0,0,0,6,21,70,11,6,16,7,20,53,0,0,39,0,0,0,0,30,0,0,0,21,0,0
19,49,0,45,14,0,20,23,0,17,33,0,0,0,0,0,7,13,0,0,19,0,0,0,32,0,0,85,0,0,0,0,7,14,41,7,12,16,0,13,0,0,0,29,0,0,0,0,22,0,0,0,20,0,0
23,58,0,69,17,0,0,24,0,22,0,0,0,0,0,0,7,17,0,0,20,0,0,0,38,0,0,64,0,0,0,0,11,11,31,11,11,20,7,23,73,0,0,26,0,0,0,0,30,0,0,0,22,0,0
22,53,0,61,16,0,18,27,0,13,33,0,0,0,0,0,7,0,0,0,20,34,0,0,26,0,0,0,0,0,0,0,11,13,40,11,9,18,9,21,0,0,0,32,0,0,0,0,30,0,0,0,21,0,0
16,45,71,44,16,0,16,30,0,21,23,0,0,0,0,0,10,18,0,0,22,44,0,0,40,0,0,0,0,0,0,0,11,14,33,10,9,17,7,22,45,0,0,23,44,0,0,0,35,0,0,98,24,0,0
23,61,0,64,16,0,30,31,0,30,34,0,0,0,0,0,27,15,0,0,21,66,0,0,33,0,0,68,0,0,0,0,12,19,0,11,8,19,0,19,59,0,0,35,29,0,0,0,31,0,0,0,24,0,0
21,57,0,60,18,0,0,24,0,18,0,0,0,0,0,0,11,18,0,0,20,0,0,0,0,0,0,0,0,0,0,0,7,10,0,10,11,15,0,10,0,5,0,18,0,0,0,0,34,0,0,0,20,0,0
32,47,46,28,18,4,19,37,0,22,29,0,0,0,0,0,10,23,0,0,25,49,0,0,37,0,0,0,0,0,0,0,7,17,40,11,15,19,10,22,33,4,0,31,0,0,0,0,47,0,0,0,25,0,0
33,50,0,27,16,4,21,36,0,30,30,0,0,0,0,0,8,18,0,0,31,39,0,0,51,0,0,0,0,0,0,0,11,16,43,14,12,17,8,31,41,4,0,30,19,0,0,0,48,0,0,0,20,0,0
32,60,0,28,17,9,21,37,0,19,17,0,0,0,0,0,9,100,0,0,31,40,0,0,51,0,0,83,0,0,0,19,13,18,70,17,13,14,15,35,34,4,0,34,21,0,0,53,50,0,83,57,22,0,0
32,48,41,31,17,10,17,37,0,23,19,6,0,0,18,100,8,23,0,0,32,33,0,0,61,0,0,57,0,0,0,0,14,15,42,12,13,17,12,24,31,4,54,32,23,0,0,47,49,0,0,0,21,0,0
