Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,Financial crisis,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,PSB,Interest,current account,Politics,parliament,protest,Economic crisis,stock market,trade,M0,Investment,World News,Crisis,Cinema,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
66,98,0,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,93,0,49,0,0,0,75,100,0,0,0,0,0,84,67,0,0,0,70,0,0,0,100,0,0
64,100,0,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,79,0,68,0,0,0,67,0,0,0,69,0,0,81,100,0,0,0,70,0,0,0,42,0,0
75,84,0,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,61,0,0,0,97,0,0,0,0,0,0,91,61,0,0,0,71,0,0,0,55,0,0
63,65,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,81,0,0,0,79,0,0,59,79,0,0,0,66,0,0,0,68,0,0
71,47,0,16,69,0,100,18,0,0,0,0,0,0,0,93,37,0,0,100,0,0,0,0,0,0,0,0,0,0,76,0,54,0,0,0,86,0,0,73,44,0,0,76,67,0,0,0,81,0,0,0,63,0,0
71,47,0,15,54,0,0,0,0,0,88,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,83,0,42,0,0,0,74,0,0,0,58,0,0,94,58,0,0,0,73,0,0,0,76,0,0
74,72,0,13,54,0,0,11,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,60,0,0,0,0,71,0,45,0,0,0,91,0,0,59,79,0,0,74,60,0,0,0,62,0,0,0,84,100,0
100,62,0,13,49,0,0,15,0,0,59,0,0,0,0,0,0,0,0,77,0,0,0,0,0,51,0,0,0,83,76,0,43,0,0,0,77,71,0,53,43,0,0,71,51,0,0,0,59,0,0,0,80,0,0
77,45,0,20,44,0,0,13,0,0,71,0,0,0,0,0,0,0,0,80,0,0,0,0,0,100,0,0,0,0,56,0,27,0,50,0,67,61,0,74,73,0,0,71,53,0,0,0,58,0,0,0,59,0,0
67,60,0,20,44,0,0,11,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,68,0,0,0,51,0,0,67,75,0,0,0,66,0,0,0,54,0,0
84,79,0,19,64,0,93,13,0,0,85,0,0,0,0,85,0,0,0,48,0,0,0,0,0,0,0,0,0,0,74,0,68,0,0,0,100,0,0,0,78,0,0,67,49,0,0,0,74,0,0,0,95,0,0
47,68,0,23,62,0,78,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,100,0,28,0,51,0,64,0,0,100,40,0,0,74,37,0,0,0,51,0,0,0,61,0,0
71,52,0,22,57,0,58,0,0,0,64,0,0,0,0,100,0,0,0,89,0,0,0,0,0,0,0,0,0,0,55,0,32,0,0,0,73,53,0,60,61,0,0,76,55,0,0,0,78,0,0,0,58,0,0
68,81,0,17,52,0,67,0,0,0,71,0,0,0,0,0,0,0,0,66,0,0,0,0,0,78,0,0,0,0,77,0,59,0,47,0,56,0,0,44,100,0,0,82,62,0,0,0,87,0,0,0,64,0,0
72,91,0,23,46,0,60,11,0,0,92,0,0,0,0,83,0,0,0,95,0,0,0,0,0,49,0,0,0,0,86,0,57,0,48,0,74,46,0,49,50,0,0,78,50,0,0,0,64,0,0,0,64,0,0
58,65,0,25,43,0,0,9,0,20,100,0,0,0,0,0,0,0,0,69,0,0,0,0,0,50,0,0,0,0,62,0,29,0,0,0,65,0,0,74,81,0,0,80,58,0,0,0,62,0,0,0,76,0,0
59,87,0,23,54,0,0,8,0,20,43,0,0,0,0,0,0,0,0,61,0,0,0,0,0,63,0,0,0,0,60,0,44,0,0,0,75,0,0,82,57,0,0,90,53,0,0,0,63,0,0,0,70,0,0
53,66,0,28,47,0,81,10,0,16,39,0,0,0,0,85,37,0,0,74,0,0,0,0,0,53,0,0,0,0,48,0,41,0,0,0,55,0,0,51,64,0,0,100,67,0,0,0,65,0,0,0,87,0,100
53,75,0,22,50,0,0,7,0,24,48,0,0,0,0,63,24,0,0,86,0,0,0,0,0,61,0,0,0,0,85,0,42,0,0,0,67,48,0,89,51,0,0,73,54,0,0,0,72,0,0,0,79,0,0
58,61,0,26,51,0,96,9,0,0,43,0,0,0,0,58,38,0,0,73,0,0,0,0,0,46,0,0,0,0,63,0,51,41,30,0,64,0,0,73,62,0,0,77,43,0,0,0,46,0,0,0,69,0,0
52,53,0,29,52,0,61,10,0,14,46,0,0,0,0,40,19,0,0,75,0,0,0,0,0,55,0,0,0,0,65,0,34,0,0,0,62,0,0,62,49,0,0,56,32,0,0,0,57,0,0,0,80,0,0
58,63,0,25,52,0,55,10,0,26,52,0,0,0,0,58,24,0,0,47,0,0,0,61,0,50,0,0,0,0,47,0,49,0,35,0,59,41,0,85,39,0,0,66,37,0,0,0,53,0,0,0,69,0,0
45,59,100,29,47,0,47,10,0,14,51,0,0,0,0,37,0,0,0,56,0,0,0,0,0,57,0,0,0,0,62,0,38,31,0,0,53,0,0,38,57,0,0,61,39,0,0,0,47,0,0,0,82,0,87
52,47,0,31,43,0,88,9,0,15,36,0,0,0,0,67,24,0,0,80,100,0,0,65,0,30,0,0,0,0,61,0,39,0,0,0,62,53,0,43,55,0,0,55,41,0,0,0,64,0,0,100,68,0,0
57,54,0,31,57,0,89,6,100,0,71,0,0,0,0,72,26,0,0,83,0,0,0,0,0,47,0,0,0,0,56,0,36,0,0,0,64,0,0,66,69,0,0,68,28,0,0,0,70,0,0,0,77,0,0
50,62,0,32,56,0,56,6,0,14,50,0,0,0,0,69,18,0,0,54,0,0,0,0,0,47,0,0,0,0,65,0,50,0,24,0,52,0,0,49,34,0,0,75,33,0,0,0,66,0,0,0,72,0,0
45,60,0,30,54,0,65,8,0,15,60,0,0,0,0,65,28,0,0,68,0,0,0,48,0,30,0,0,0,0,59,0,45,0,25,0,52,28,0,45,52,0,0,72,33,0,0,0,58,0,0,0,72,0,0
47,59,0,29,50,90,69,11,0,0,55,14,0,0,0,48,0,0,0,62,0,0,0,56,0,55,0,0,0,37,52,0,37,0,0,0,51,0,0,54,39,0,0,68,31,0,0,0,53,0,0,0,74,0,0
45,61,53,32,49,0,53,10,0,22,64,0,0,0,0,67,17,0,0,76,0,0,0,59,0,46,0,0,0,0,50,0,45,0,22,36,47,36,0,49,48,0,0,59,33,0,0,0,63,0,0,0,71,0,65
50,55,59,30,57,0,72,8,0,13,47,0,0,0,0,57,19,0,0,65,0,0,0,100,0,55,0,0,0,41,56,0,34,28,35,37,54,0,0,66,45,0,0,59,26,0,0,0,70,0,0,97,74,0,0
49,49,0,33,44,0,55,8,0,12,43,0,0,0,0,31,0,0,0,62,0,0,0,92,0,63,0,0,0,53,54,0,38,0,34,0,45,42,0,67,41,0,0,57,27,0,0,0,51,100,0,0,81,0,0
50,50,0,36,52,0,48,6,0,21,67,0,0,0,0,37,0,0,0,59,0,0,0,62,0,42,0,0,0,52,46,0,49,0,31,0,41,0,0,54,58,0,0,68,18,0,0,0,43,0,0,68,77,0,0
41,57,0,46,49,0,65,7,0,14,46,0,0,0,0,0,0,0,0,44,0,0,0,58,0,40,0,0,0,0,57,0,39,0,22,0,41,0,0,63,35,0,0,46,22,0,0,0,50,76,0,0,90,0,0
52,31,0,46,42,77,48,8,0,21,59,0,0,0,0,55,0,0,0,36,0,0,0,0,0,41,0,0,0,31,53,0,41,0,33,0,39,26,0,39,31,0,0,57,27,0,0,0,47,66,0,0,86,0,0
43,46,53,49,52,0,65,9,0,20,56,12,0,0,0,51,19,0,0,56,0,0,0,46,0,29,0,0,0,0,56,0,32,0,20,25,39,26,0,44,34,0,0,57,30,0,0,0,55,0,0,0,74,0,0
35,40,0,53,51,0,63,7,0,24,49,0,0,0,0,46,0,0,0,54,0,0,0,45,0,40,0,0,0,31,56,0,43,0,26,33,28,0,0,47,29,0,0,48,31,0,0,0,45,0,0,0,67,0,0
44,46,0,46,50,0,56,6,0,14,67,0,0,0,0,78,17,0,0,57,0,0,0,39,0,61,0,0,0,55,53,0,40,0,31,33,34,0,0,46,35,0,0,61,37,0,0,0,55,0,0,100,59,0,0
37,67,0,44,58,0,69,8,0,29,50,0,0,0,0,62,12,0,0,67,0,0,0,54,0,48,0,0,0,55,46,0,46,19,0,27,40,22,0,53,44,0,0,65,27,0,0,0,53,0,0,0,59,0,0
38,46,36,45,59,87,64,10,0,36,31,13,0,0,0,47,11,0,0,55,0,0,0,61,0,64,0,0,0,36,58,0,49,17,23,0,36,22,0,54,29,0,0,54,20,0,0,0,54,0,40,0,71,0,0
41,33,0,52,59,0,51,10,0,37,40,44,0,0,0,32,20,0,0,49,0,0,0,0,0,42,0,0,0,56,45,0,59,0,15,0,36,29,0,39,36,0,0,44,23,0,0,0,38,0,0,0,78,0,0
40,44,0,42,56,0,51,6,0,25,64,10,0,0,0,43,28,0,0,62,0,0,0,58,0,36,0,0,0,85,51,0,71,22,13,33,31,15,0,47,37,0,0,48,27,0,0,0,47,0,0,61,73,0,0
39,56,29,52,59,54,60,10,0,36,59,0,0,0,0,41,35,0,0,60,0,0,0,0,0,34,0,0,0,93,49,0,86,22,18,0,32,0,0,56,39,0,0,66,21,0,0,0,43,0,0,0,68,0,0
36,54,27,48,56,60,68,7,0,34,46,7,0,0,0,42,29,0,0,73,47,0,0,69,0,36,0,0,0,100,59,0,100,29,22,27,41,0,0,51,45,100,0,62,25,0,0,0,49,46,0,60,72,0,0
38,51,0,48,56,70,60,8,0,33,41,0,0,0,0,71,24,0,0,49,0,0,0,79,0,39,0,0,0,66,71,0,91,18,26,25,29,0,0,45,50,0,0,74,21,0,0,0,55,36,0,67,59,0,0
30,55,29,43,57,0,47,9,0,39,49,0,0,0,0,73,25,0,0,59,0,0,0,52,0,43,0,0,0,59,58,0,67,26,24,26,29,17,0,51,46,0,0,76,27,0,0,0,53,43,0,67,57,0,34
33,34,34,43,62,72,46,9,0,36,43,0,0,0,0,57,28,0,0,53,46,0,0,42,0,44,0,0,0,61,52,0,65,20,30,21,29,18,0,62,39,0,0,65,22,0,0,0,57,39,0,88,62,0,0
32,47,29,45,62,100,66,10,0,29,45,0,0,0,0,72,18,0,0,49,0,0,0,78,0,33,0,0,0,39,57,0,49,15,24,19,28,19,0,42,32,0,0,62,16,0,0,0,46,66,0,60,55,0,0
37,44,0,45,76,53,37,10,0,28,50,8,0,0,0,66,12,0,0,48,0,0,0,0,0,27,0,0,0,58,50,0,54,0,17,22,35,0,0,46,40,0,0,48,20,0,0,0,43,66,0,59,54,31,0
36,40,32,42,66,49,69,6,0,25,51,10,0,0,0,70,27,0,0,57,0,0,0,45,0,42,0,0,0,76,43,0,53,14,23,21,28,17,0,51,44,0,0,61,20,0,0,0,43,0,0,38,50,0,0
35,47,47,44,72,53,68,8,0,25,41,8,0,0,0,77,30,0,0,45,0,0,0,48,0,46,0,0,0,90,58,0,66,15,39,26,31,0,0,38,47,0,0,69,32,0,0,0,60,53,0,65,54,0,0
38,55,53,42,70,80,76,8,0,31,54,13,0,0,0,79,24,0,0,45,0,0,0,80,0,50,0,0,0,86,61,0,69,23,35,25,31,0,0,44,41,0,0,81,25,0,0,0,53,0,0,94,54,0,0
37,64,43,44,69,70,65,9,0,36,50,13,0,0,0,66,21,0,0,53,59,0,0,68,0,58,0,0,0,79,53,0,75,31,29,0,28,25,0,36,49,0,0,71,32,0,0,0,64,0,0,58,58,0,0
40,55,28,43,75,61,48,14,0,32,44,6,0,0,0,67,20,0,0,47,46,0,0,54,0,48,0,0,0,69,58,0,65,26,43,24,32,16,0,40,47,0,0,59,25,0,0,0,77,49,0,53,59,0,0
37,59,45,42,68,80,67,10,0,32,35,0,0,0,0,77,21,0,0,47,0,0,0,81,0,47,0,0,0,62,51,0,58,21,26,23,29,18,0,50,53,0,0,60,22,0,0,0,69,34,0,72,62,0,0
36,50,34,44,73,83,57,10,0,28,47,7,0,0,0,47,31,0,0,43,0,0,0,53,0,49,0,0,0,60,49,0,53,20,36,25,33,12,0,41,51,0,0,60,21,0,0,0,60,0,0,50,61,0,0
36,52,27,38,70,89,59,12,0,32,52,0,0,0,0,58,32,0,0,42,38,0,0,53,0,43,0,0,0,54,51,0,54,30,27,20,22,20,0,53,54,0,0,67,27,0,0,0,54,0,0,56,64,0,0
34,43,36,44,70,64,64,11,0,35,39,6,0,0,0,44,38,0,0,44,0,0,0,39,0,51,0,7,0,49,48,0,53,24,32,19,27,13,0,41,38,0,0,59,24,0,0,0,62,0,0,34,60,0,0
39,41,27,38,78,42,50,11,19,28,47,17,0,83,0,38,21,0,0,39,28,0,0,36,0,41,0,0,40,59,50,0,56,24,77,19,26,13,0,45,39,0,0,64,24,0,0,0,54,39,0,63,49,0,0
37,46,26,39,69,38,53,9,0,35,44,21,0,73,0,50,51,0,0,43,33,0,0,44,0,42,0,0,38,48,46,0,43,33,78,24,24,14,0,41,47,0,0,62,20,0,0,100,55,49,24,42,58,0,0
36,41,24,41,72,38,45,12,0,33,39,0,0,38,0,71,100,0,0,50,39,0,0,36,0,35,0,0,0,39,44,0,44,24,57,33,26,19,0,42,37,0,0,56,22,0,0,0,49,0,36,52,58,0,0
37,53,21,37,88,56,62,8,0,31,45,0,0,54,75,70,27,0,0,34,0,0,0,72,0,41,0,0,68,51,43,0,44,28,74,20,22,0,0,44,38,0,0,63,23,0,0,97,49,39,41,45,52,0,0
33,58,29,37,76,53,63,11,17,29,44,0,0,72,0,80,26,0,0,44,0,0,0,55,0,44,0,0,82,38,48,0,42,23,87,23,27,12,0,45,58,0,0,70,21,0,0,0,60,38,67,40,50,0,0
31,55,30,37,80,79,58,11,0,25,43,0,0,93,0,85,41,0,0,42,42,0,0,64,0,41,0,0,95,44,43,0,40,22,100,30,26,13,0,37,43,0,0,81,24,0,0,0,53,45,76,52,54,0,0
34,52,34,46,90,65,70,11,0,28,49,8,0,100,0,59,25,0,0,49,0,0,0,43,0,35,0,0,82,31,46,0,48,23,85,28,24,16,0,39,53,0,0,61,24,0,0,0,57,31,82,48,51,0,0
36,55,36,51,80,70,62,14,0,29,37,5,0,62,59,54,66,0,0,41,32,0,0,56,0,36,0,0,100,32,38,0,40,23,75,28,20,10,0,44,48,0,0,55,18,0,0,73,57,30,38,59,54,0,0
35,47,29,49,81,54,82,15,0,28,39,8,0,28,0,61,82,0,0,37,0,0,0,52,0,39,0,0,46,30,34,0,41,34,55,28,21,15,0,35,47,0,0,71,20,0,0,0,52,44,36,58,57,0,0
34,45,16,50,77,48,50,14,16,28,32,0,0,26,0,56,26,0,0,42,37,0,0,60,0,27,0,0,44,38,35,0,41,31,58,31,20,14,0,33,38,0,0,62,22,0,0,70,53,38,23,0,55,0,0
36,45,16,61,80,45,67,14,0,25,32,0,0,28,0,45,24,0,0,48,0,0,0,52,0,22,0,0,44,18,32,0,37,28,44,32,21,12,0,46,34,0,0,54,18,0,0,0,41,0,33,0,59,0,0
32,40,18,57,75,60,56,16,16,29,39,4,0,0,0,41,19,0,0,36,33,0,0,34,0,24,0,0,0,22,31,0,36,23,37,21,20,11,0,39,32,0,0,52,18,0,0,0,51,45,18,31,54,0,0
32,36,27,60,76,49,65,17,0,30,34,0,0,0,64,37,69,0,0,42,0,0,0,43,0,29,0,0,0,32,39,0,34,36,24,34,18,0,0,31,39,0,0,59,18,0,0,0,55,45,18,34,56,0,0
35,48,29,56,76,51,52,16,0,25,33,0,0,0,0,53,37,0,0,37,0,0,0,47,0,39,0,0,39,30,35,0,41,30,57,31,19,0,0,40,45,0,0,57,16,0,0,0,56,50,26,51,50,19,0
30,38,28,74,80,33,42,14,0,21,33,0,0,16,0,65,20,0,0,39,40,1,0,56,0,37,0,0,0,29,34,0,34,24,36,46,23,0,0,35,40,0,0,49,11,0,0,0,48,37,35,30,45,0,0
34,55,23,80,87,47,46,14,0,20,34,0,0,16,58,61,26,0,0,29,29,0,0,50,0,30,0,0,0,30,33,0,33,34,78,22,17,9,0,34,37,0,0,54,18,0,0,0,56,27,0,29,42,0,0
35,45,37,100,85,0,33,15,0,24,30,8,0,0,0,61,25,0,0,34,34,0,0,58,0,41,0,0,0,38,36,0,36,31,50,39,16,0,0,34,40,0,0,66,17,0,0,0,52,75,0,53,47,0,0
32,52,44,95,100,43,45,20,13,18,38,5,0,0,72,73,27,0,0,31,24,0,0,55,0,50,0,0,23,33,35,0,44,30,96,29,17,9,0,43,36,0,0,65,20,0,0,80,63,47,0,46,48,0,0
36,43,34,95,91,33,42,20,0,18,27,7,0,30,69,57,18,0,0,37,0,0,0,59,0,38,0,0,0,39,32,0,38,29,56,32,16,14,0,44,27,0,0,58,17,0,0,0,54,43,0,35,42,0,24
32,48,36,92,84,62,34,23,0,15,30,9,0,0,88,68,20,0,0,37,24,0,0,58,0,45,100,0,34,32,37,0,35,43,57,38,17,10,0,39,42,0,0,57,15,0,0,69,60,49,0,55,51,0,0
33,48,34,83,88,60,42,20,0,19,29,7,0,0,94,66,34,0,0,28,25,0,0,54,0,38,0,0,24,33,33,0,38,68,41,27,17,12,0,30,49,0,0,67,17,0,100,0,56,0,0,51,54,0,0
25,39,34,58,62,44,38,16,9,17,24,3,0,0,0,43,16,0,0,24,21,0,0,37,0,35,0,0,0,14,30,0,26,62,27,29,13,7,0,25,40,0,100,56,13,0,0,0,48,34,11,40,30,8,0
24,32,28,56,72,40,39,15,11,14,23,7,0,0,62,45,18,0,0,23,21,0,0,42,0,31,79,0,13,16,26,0,24,39,27,23,12,9,0,27,27,0,0,55,15,90,42,0,43,34,10,39,32,0,0
26,34,23,66,69,69,30,19,13,19,19,7,0,8,41,33,17,0,0,25,15,0,0,41,0,44,0,0,0,22,26,0,26,36,33,26,13,7,0,26,32,0,0,53,13,0,0,56,48,20,0,35,33,0,0
23,31,26,62,60,34,28,21,7,12,17,5,0,0,39,30,15,0,0,22,22,0,0,34,0,39,0,0,12,14,30,0,28,36,28,18,11,8,0,25,33,0,0,51,9,0,0,0,47,28,7,37,26,8,0
22,33,25,61,54,46,27,17,9,14,17,7,0,0,53,37,19,0,0,19,21,0,0,39,0,39,68,0,0,19,25,0,26,36,25,16,11,7,0,21,35,0,0,51,12,0,0,52,43,24,7,39,27,11,0
22,25,25,66,59,36,26,18,0,14,15,5,0,0,49,43,23,0,100,22,16,0,0,34,0,41,63,0,0,15,22,0,20,33,34,25,12,8,0,22,28,0,0,40,10,0,0,0,41,15,0,30,26,0,0
